Respondent,Gender,EdLevel,Age,Country,WorkLoc,CompTotal,ConvertedComp,WorkWeekHrs,CodeRevHrs
22742,Man,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",24.0,Germany,Home,3000.0,41244.0,40.0,3.0
22744,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",45.0,United States,Home,72000.0,72000.0,55.0,2.0
22749,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",28.0,India,Office,800000.0,11194.0,40.0,2.0
22750,Man,Associate degree,31.0,United Kingdom,Home,2629.0,41280.0,37.5,0.0
22755,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",27.0,Germany,Home,57600.0,65995.0,40.0,20.0
22758,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",46.0,Israel,Office,50000.0,164952.0,45.0,4.0
22761,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",27.0,India,Office,350000.0,58764.0,45.0,30.0
22762,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",30.0,Hungary,Home,900000.0,38976.0,37.0,3.0
22765,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",26.0,Canada,Office,60000.0,45803.0,40.0,5.0
22776,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",35.0,United States,Home,128000.0,128000.0,40.0,15.0
22779,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",36.0,Canada,Office,125000.0,95423.0,37.5,3.0
22781,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",48.0,United States,Home,100000.0,100000.0,40.0,1.0
22782,Man,"Other doctoral degree (Ph.D, Ed.D., etc.)",31.0,United States,Home,110000.0,110000.0,40.0,5.0
22784,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",33.0,United States,Other,250000.0,250000.0,40.0,3.0
22789,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",24.0,Serbia,Office,250000.0,29028.0,40.0,5.0
22791,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",35.0,Turkey,Office,22000.0,50688.0,45.0,3.0
22794,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",29.0,Italy,Office,52000.0,59579.0,38.0,16.0
