,COUNTRY,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,NUMBER_VACCINES_TYPES_USED
56,Djibouti,36344,18492.0,3.68,1.87,15217.0,1.54,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",6.0
57,Dominica,41932,21942.0,58.25,30.48,19990.0,27.77,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",4.0
58,Dominican Republic,11019655,5776328.0,101.58,53.25,4609868.0,42.5,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",3.0
59,Ecuador,17513775,10053146.0,99.27,56.98,7533965.0,42.7,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",4.0
60,Egypt,8741005,5616607.0,8.54,5.49,3124398.0,3.05,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",6.0
61,El Salvador,6006253,3451270.0,92.6,53.21,2554983.0,39.39,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",5.0
62,Equatorial Guinea,348830,198508.0,24.86,14.15,150322.0,10.71,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",2.0
63,Estonia,1273351,727804.0,95.81,54.76,545547.0,41.05,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",4.0
64,Eswatini,195935,167575.0,16.89,14.44,157429.0,13.57,SII - Covishield,1.0
65,Ethiopia,2451950,2037937.0,2.13,1.77,414013.0,0.36,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",3.0
66,Falkland Islands (Malvinas),4407,2632.0,126.53,75.57,1775.0,50.96,AstraZeneca - AZD1222,1.0
67,Faroe Islands,71169,36711.0,145.64,75.13,34458.0,70.52,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",2.0
68,Fiji,821657,558414.0,91.66,62.29,263243.0,29.37,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,SII - Covishield",3.0
69,Finland,6827041,4022419.0,123.56,72.8,2804622.0,50.76,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",3.0
70,France,87425776,48390209.0,134.42,74.4,40038951.0,61.56,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",4.0
72,French Polynesia,244136,137989.0,86.91,49.12,106147.0,37.79,"Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2.0
73,Gabon,127757,74720.0,5.74,3.36,53037.0,2.38,Beijing CNBG - BBIBP-CorV,1.0
74,Gambia,189196,35711.0,7.83,1.48,154657.0,6.4,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2.0
75,Georgia,1210746,802083.0,30.35,20.11,408663.0,10.24,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Sinovac - CoronaVac",4.0
76,Germany,101881571,54297654.0,122.5,65.29,50431730.0,60.64,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",4.0
77,Ghana,1271393,865422.0,4.09,2.79,405971.0,1.31,"Gamaleya - Sputnik V,SII - Covishield",2.0
78,Gibraltar,78854,39629.0,234.05,117.63,39225.0,116.43,Pfizer BioNTech - Comirnaty,1.0
79,Greece,11408609,6056183.0,106.44,56.5,5738106.0,53.53,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",4.0
80,Greenland,72589,39878.0,127.86,70.24,32711.0,57.62,Moderna - mRNA-1273,1.0
81,Grenada,42484,23965.0,37.76,21.3,18519.0,16.46,"AstraZeneca - Vaxzevria,SII - Covishield",2.0
82,Guadeloupe,170272,104132.0,42.56,26.03,65976.0,16.49,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",5.0
83,Guam,205853,111041.0,121.97,65.79,101057.0,59.88,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",3.0
84,Guatemala,4124813,3142517.0,23.02,17.54,982296.0,5.48,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
86,Guinea,1199686,810215.0,9.14,6.17,389471.0,2.97,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",6.0
87,Guinea-Bissau,31090,28097.0,1.58,1.43,2993.0,0.15,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2.0
88,Guyana,468218,308758.0,59.53,39.26,159460.0,20.27,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",5.0
89,Haiti,31698,27305.0,0.28,0.24,4734.0,0.04,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273",2.0
90,Honduras,3205881,2137915.0,32.37,21.59,1068341.0,10.79,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",6.0
92,Iceland,527448,279365.0,144.85,76.72,263695.0,72.42,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",4.0
93,India,651214767,500903929.0,47.19,36.3,150310838.0,10.89,"Bharat - Covaxin,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,SII - Covishield",5.0
